tea_name,name
TEA_53_1_AUC1,ESCO.0216.00462
TEA_54_1_TC4,ESCO.0216.00109
TEA_54_1_Ti6,ESCO.0216.00072
TEA_55_1_AU4,ESCO.0216.00144
TEA_55_1_TC9,ESCO.0216.00310
TEA_55_1_Ti19,ESCO.0216.00135
TEA_56_2_AC5,ESCO.0216.00115
TEA_56_3_AC1,ESCO.0216.00333
TEA_56_4_R1,ESCO.0216.00304
TEA_57_2_DC4,ESCO.0216.00493
TEA_57_3_TC14,ESCO.0216.00384
TEA_57_3_Ti5,ESCO.0216.00161
TEA_57_5_R8,ESCO.0216.00168
TEA_58_2_AC1,ESCO.0216.00143
TEA_58_3_Ti7,ESCO.0216.00863
TEA_59_1_AC3,ESCO.0216.00746
TEA_60_1_Ti1,ESCO.0216.00226
TEA_61_1_Ti1,ESCO.0216.00355
TEA_61_2_AC9,ESCO.0216.00312
TEA_6_14_6B,ESCO.0216.01162
TEA_6_14_8,ESCO.0216.01235
TEA_6_1_TC16,ESCO.0216.01154
TEA_62_1_Ti3,ESCO.0216.00090
TEA_62_2_Ti6b,ESCO.0216.00211
TEA_62_4_Si7,ESCO.0216.00494
TEA_63_2_TC7,ESCO.0216.00911
TEA_64_3_AC10,ESCO.0216.00417
TEA_64_6_TC7,ESCO.0216.00645
TEA_64_AC3,ESCO.0216.00458
TEA_64_R6,ESCO.0216.00529
TEA_64_Ti5,ESCO.0216.00964
TEA_65_1_AC2,ESCO.0216.01058
TEA_65_2_AC1,ESCO.0216.01006
TEA_65_3_TC1,ESCO.0216.01241
TEA_65_4_AC20,ESCO.0216.00684
TEA_66_1_AC1,ESCO.0216.01057
TEA_67_1_Ti13,ESCO.0216.01052
TEA_67_3_Ti10,ESCO.0216.01148
TEA_67_4_Ti7,ESCO.0216.00898
TEA_68_2_Ti3,ESCO.0216.01117
TEA_68_3_TC19,ESCO.0216.01137
TEA_68_4_TC14,ESCO.0216.00927
TEA_69_1_AU1_1,ESCO.0216.00131
TEA_69_1_TC1,ESCO.0216.01033
TEA_69_1_Ti1,ESCO.0216.00105
TEA_70_1_AC3,ESCO.0216.01195
TEA_70_2_TC2,ESCO.0216.00524
TEA_70_2_Ti12,ESCO.0216.00248
TEA_70_3_Ti8,ESCO.0216.00711
TEA_70_4_DC20,ESCO.0216.00499
TEA_70_5_R4,ESCO.0216.00371
TEA_71_1_AC1,ESCO.0216.01358
TEA_71_2_Ti5,ESCO.0216.00264
TEA_7_14_10,ESCO.0216.01272
TEA_7_14_25,ESCO.0216.01143
TEA_7_14_27,ESCO.0216.01248
TEA_7_14_6A,ESCO.0216.01209
TEA_72_2_AC9,ESCO.0216.00821
TEA_72_3_TC1,ESCO.0216.01250
TEA_72_4_Ti9,ESCO.0216.01234
TEA_72_5_Ti14,ESCO.0216.00948
TEA_72_6_Ti12,ESCO.0216.00106
TEA_73_1_Si1,ESCO.0216.00834
TEA_7_3_R4,ESCO.0216.01206
TEA_8_1_AC8,ESCO.0216.01073
TEA_8_2_Ti16_redo,ESCO.0216.01115
TEA_8_3_DC15,ESCO.0216.01276
TEA_8_3_Ti3_redo,ESCO.0216.01264
TEA_9_5_R1,ESCO.0216.01166
TEA_A1_12,ESCO.0216.00689
TEA_A1_14,ESCO.0216.00838
TEA_A1_1,ESCO.0216.00887
TEA_A1_20,ESCO.0216.00800
TEA_A1_25,ESCO.0216.00774
TEA_A1_28,ESCO.0216.01412
TEA_A1_29,ESCO.0216.00669
TEA_A1_30,ESCO.0216.00601
TEA_A1_31,ESCO.0216.00515
TEA_A1_32,ESCO.0216.01271
TEA_A1_33,ESCO.0216.00931
TEA_A1_38,ESCO.0216.00527
TEA_A1_40,ESCO.0216.01119
TEA_A1_42,ESCO.0216.00880
TEA_A1_44,ESCO.0216.00764
TEA_A1_45,ESCO.0216.00959
TEA_A1_49,ESCO.0216.00906
TEA_A1_66,ESCO.0216.00256
TEA_A2_10,ESCO.0216.01378
TEA_A2_14,ESCO.0216.01388
TEA_A2_15,ESCO.0216.00079
TEA_A2_17,ESCO.0216.00733
TEA_A2_19,ESCO.0216.00732
TEA_A2_22,ESCO.0216.00575
