Revised_Source_Niche name
Food TEA_A2_3
Food TEA_C3_36
Food TEA_C1_79
Food AusGEM_01967
Food TEA_A3_32
Food TEA_W4_61
Food TEA_W1_32
Food TEA_A3_57
Environmental TEA_E4931
Environmental TEA_E5356
Environmental TEA_E2062
Environmental SRR13569285
Environmental TEA_E2075
Environmental TEA_E7412
Environmental SRR13735335
Environmental TEA_E9208
Environmental SRR13756211
Environmental TEA_1330_2_1_WA_Bloom
Environmental SRR13568495
Environmental TEA_E2079
Environmental TEA_E5993
Environmental TEA_E5598
Environmental TEA_242_3_Brisbane
Environmental TEA_E8610
Environmental TEA_242_6_Brisbane
Environmental TEA_E4068
Environmental SRR13576332
Environmental TEA_E4679
Environmental TEA_E2469
Environmental TEA_E7193
Environmental TEA_E4766
Environmental SRR13735234
Environmental TEA_E4921
Environmental TEA_E5476
Environmental TEA_E8647
Environmental SRR13593760
Environmental TEA_E5631
Environmental SRR13569287
Environmental TEA_E5895
Environmental TEA_E600
Environmental SRR4241841
Environmental TEA_E7411
Environmental TEA_E7253
Environmental TEA_E6389
Environmental TEA_E3340
Environmental TEA_E8492
Environmental TEA_E5753
Environmental TEA_H1513191_2
Environmental TEA_E3809
Environmental TEA_E9872
Environmental TEA_E8084
Environmental TEA_E2851
Environmental TEA_H1508309
Environmental TEA_E8416
Environmental SRR13558172
Environmental TEA_E8580
Environmental SRR13568492
Environmental SRR13735220
Environmental TEA_E2047
Environmental SRR13569279
Environmental AUSMDU00056156
Environmental SRR13576153
Environmental TEA_E7591
Environmental TEA_E5129
Environmental TEA_E8659
Environmental TEA_E2408
Environmental TEA_E1358
Environmental TEA_E7615
Environmental TEA_E9141
Environmental TEA_E1215
Environmental TEA_E9791
Environmental TEA_E5493
Environmental TEA_E3071
Environmental TEA_E2873
Environmental TEA_E5472
Environmental TEA_E9796
Environmental SRR13735334
Environmental TEA_E4486
Environmental TEA_E9644
Environmental TEA_E9180
Environmental TEA_E5627
Environmental TEA_E1426
Environmental TEA_YarraTap_3
Environmental TEA_E2524
Environmental TEA_E6042
Environmental TEA_E4980
